정규화,analyzer,ngram,min_df,sublinear,max_features,C,class_weight,피처수,Val_MacroF1
True,char,"(2, 3)",3,False,0,1.0,balanced,5674,0.8503438034949033
True,char,"(2, 3)",3,True,100000,1.0,balanced,5674,0.8503438034949033
True,char,"(2, 4)",2,False,0,0.3,balanced,15320,0.8502381890427834
True,char,"(2, 4)",2,False,100000,0.3,balanced,15320,0.8502381890427834
True,char,"(2, 5)",3,True,100000,1.0,balanced,10454,0.850123522905257
True,char,"(2, 5)",3,True,0,1.0,balanced,10454,0.850123522905257
True,char,"(2, 4)",2,True,0,0.3,balanced,15320,0.8501067820769397
True,char,"(2, 4)",2,True,100000,0.3,balanced,15320,0.8501067820769397
True,char,"(2, 5)",3,False,0,1.0,balanced,10454,0.8500487675319927
True,char,"(2, 5)",3,False,100000,1.0,balanced,10454,0.8500487675319927
False,char,"(2, 4)",2,True,0,0.3,balanced,16903,0.8500058675890126
False,char,"(2, 4)",2,True,100000,0.3,balanced,16903,0.8500058675890126
False,char,"(2, 4)",2,False,100000,0.3,balanced,16903,0.8500058675890126
False,char,"(2, 4)",2,False,0,0.3,balanced,16903,0.8500058675890126
True,char_wb,"(2, 3)",3,False,100000,10.0,balanced,5165,0.8498031223735714
True,char_wb,"(2, 3)",3,False,0,10.0,balanced,5165,0.8498031223735714
True,char_wb,"(2, 4)",3,False,0,3.0,none,6929,0.8497280435736856
True,char_wb,"(2, 4)",3,False,100000,3.0,none,6929,0.8497280435736856
True,char_wb,"(2, 5)",3,True,0,0.1,balanced,7943,0.8495114961201575
True,char_wb,"(2, 5)",3,True,100000,0.1,balanced,7943,0.8495114961201575
True,char_wb,"(2, 3)",3,False,100000,0.3,balanced,5165,0.8493789092112225
True,char_wb,"(2, 3)",3,False,0,0.3,balanced,5165,0.8493789092112225
True,char_wb,"(2, 4)",3,False,100000,10.0,balanced,6929,0.8492945792892097
True,char_wb,"(2, 4)",3,False,0,10.0,balanced,6929,0.8492945792892097
False,char_wb,"(2, 3)",2,False,100000,0.3,balanced,9187,0.8491820449600599
False,char_wb,"(2, 3)",2,False,0,0.3,balanced,9187,0.8491820449600599
False,char_wb,"(2, 3)",2,True,100000,0.3,balanced,9187,0.8491820449600599
False,char_wb,"(2, 3)",2,True,0,0.3,balanced,9187,0.8491820449600599
False,char_wb,"(2, 4)",3,False,100000,0.3,balanced,7564,0.848945516009109
False,char_wb,"(2, 4)",3,False,0,0.3,balanced,7564,0.848945516009109
False,char_wb,"(2, 4)",2,True,100000,1.0,balanced,13220,0.8488789683164218
False,char_wb,"(2, 4)",2,True,0,1.0,balanced,13220,0.8488789683164218
False,char_wb,"(2, 4)",2,False,100000,1.0,balanced,13220,0.8488789683164218
False,char_wb,"(2, 4)",2,False,0,1.0,balanced,13220,0.8488789683164218
True,char_wb,"(2, 3)",3,False,0,3.0,balanced,5165,0.8488608550302451
True,char_wb,"(2, 3)",3,False,100000,3.0,balanced,5165,0.8488608550302451
False,char_wb,"(2, 4)",3,True,100000,1.0,balanced,7564,0.8487924416519241
