분류기,표현순위,입력,analyzer,ngram,min_df,max_df,sublinear,use_idf,설정,CV_MacroF1,CV_std
LogReg(다항),4,title,char,"(2, 3)",1,1.0,True,True,"{'C': 300.0, 'class_weight': 'balanced'}",0.733011655959508,0.018914678789365588
LogReg(OvR),3,title,char,"(2, 3)",1,0.9,True,True,"{'C': 300.0, 'class_weight': 'balanced'}",0.7328484237874953,0.02316787671006523
LogReg(OvR),2,title,char_wb,"(2, 3)",1,1.0,True,True,"{'C': 30.0, 'class_weight': 'balanced'}",0.7327192393280659,0.02120481350342148
LogReg(OvR),1,title,char_wb,"(2, 3)",1,0.9,True,True,"{'C': 30.0, 'class_weight': 'balanced'}",0.7327192393280659,0.02120481350342148
LinearSVC,5,title,char,"(2, 3)",1,1.0,False,True,"{'C': 1.0, 'class_weight': None}",0.732279559048767,0.018519345236964267
LinearSVC,6,title,char,"(2, 3)",1,0.9,False,True,"{'C': 1.0, 'class_weight': None}",0.732279559048767,0.018519345236964267
LinearSVC,7,title,char_wb,"(2, 3)",1,1.0,False,True,"{'C': 30.0, 'class_weight': 'balanced'}",0.7321495640354072,0.01875257631081634
LinearSVC,8,title,char_wb,"(2, 3)",1,0.9,False,True,"{'C': 30.0, 'class_weight': 'balanced'}",0.7321495640354072,0.01875257631081634
LogReg(OvR),8,title,char_wb,"(2, 3)",1,0.9,False,True,"{'C': 30.0, 'class_weight': 'balanced'}",0.7321330288079388,0.02214312870050603
LogReg(OvR),7,title,char_wb,"(2, 3)",1,1.0,False,True,"{'C': 30.0, 'class_weight': 'balanced'}",0.7321330288079388,0.02214312870050603
LinearSVC,1,title,char_wb,"(2, 3)",1,0.9,True,True,"{'C': 1.0, 'class_weight': 'balanced'}",0.7318328321574492,0.023945441840883534
LinearSVC,2,title,char_wb,"(2, 3)",1,1.0,True,True,"{'C': 1.0, 'class_weight': 'balanced'}",0.7318328321574492,0.023945441840883534
LinearSVC,10,title,char,"(2, 3)",1,0.9,True,False,"{'C': 10.0, 'class_weight': 'balanced'}",0.7317464567308191,0.0182870179885332
LinearSVC,9,title,char,"(2, 3)",1,1.0,True,False,"{'C': 10.0, 'class_weight': 'balanced'}",0.7317464567308191,0.0182870179885332
LogReg(다항),4,title,char,"(2, 3)",1,1.0,True,True,"{'C': 30.0, 'class_weight': 'balanced'}",0.7316705149727528,0.02207597180138992
LogReg(다항),3,title,char,"(2, 3)",1,0.9,True,True,"{'C': 30.0, 'class_weight': 'balanced'}",0.7316705149727528,0.02207597180138992
LogReg(OvR),6,title,char,"(2, 3)",1,0.9,False,True,"{'C': 30.0, 'class_weight': 'balanced'}",0.7313405259892481,0.0241638909088063
LogReg(OvR),5,title,char,"(2, 3)",1,1.0,False,True,"{'C': 30.0, 'class_weight': 'balanced'}",0.7313405259892481,0.0241638909088063
LinearSVC,4,title,char,"(2, 3)",1,1.0,True,True,"{'C': 1.0, 'class_weight': 'balanced'}",0.731196548679363,0.029347044178806986
LinearSVC,3,title,char,"(2, 3)",1,0.9,True,True,"{'C': 1.0, 'class_weight': 'balanced'}",0.731196548679363,0.029347044178806986
LogReg(OvR),4,title,char,"(2, 3)",1,1.0,True,True,"{'C': 10.0, 'class_weight': 'balanced'}",0.730862247937229,0.022609942434349394
LogReg(OvR),3,title,char,"(2, 3)",1,0.9,True,True,"{'C': 10.0, 'class_weight': 'balanced'}",0.730862247937229,0.022609942434349394
LinearSVC,1,title,char_wb,"(2, 3)",1,0.9,True,True,"{'C': 1.0, 'class_weight': None}",0.730715936114944,0.016530907468927505
LinearSVC,2,title,char_wb,"(2, 3)",1,1.0,True,True,"{'C': 1.0, 'class_weight': None}",0.730715936114944,0.016530907468927505
LinearSVC,5,title,char,"(2, 3)",1,1.0,False,True,"{'C': 1.0, 'class_weight': 'balanced'}",0.7306362903399745,0.02807376591259012
LinearSVC,6,title,char,"(2, 3)",1,0.9,False,True,"{'C': 1.0, 'class_weight': 'balanced'}",0.7306362903399745,0.02807376591259012
LinearSVC,7,title,char_wb,"(2, 3)",1,1.0,False,True,"{'C': 1.0, 'class_weight': 'balanced'}",0.7305967606899954,0.024194374122639577
LinearSVC,8,title,char_wb,"(2, 3)",1,0.9,False,True,"{'C': 1.0, 'class_weight': 'balanced'}",0.7305967606899954,0.024194374122639577
LinearSVC,8,title,char_wb,"(2, 3)",1,0.9,False,True,"{'C': 1.0, 'class_weight': None}",0.7305946833260893,0.017263602197839668
LinearSVC,7,title,char_wb,"(2, 3)",1,1.0,False,True,"{'C': 1.0, 'class_weight': None}",0.7305946833260893,0.017263602197839668
LogReg(다항),1,title,char_wb,"(2, 3)",1,0.9,True,True,"{'C': 30.0, 'class_weight': 'balanced'}",0.7302263028004674,0.025690023988519
LogReg(다항),2,title,char_wb,"(2, 3)",1,1.0,True,True,"{'C': 30.0, 'class_weight': 'balanced'}",0.7302263028004674,0.025690023988519
