표현순위,축소,설정,CV_MacroF1,CV_std
9,chi2-5000,"{'C': 1.0, 'class_weight': 'balanced'}",0.6966403762681102,0.03166274410813837
9,L1,C=0.3,0.5624808480581751,0.021537573548340665
9,L1,C=1.0,0.6625433722255927,0.029748959915287424
9,L1,C=3.0,0.7073032097029521,0.03414064632879823
10,없음,"{'C': 1.0, 'class_weight': 'balanced'}",0.7259676036973634,0.025051740311534128
10,SVD-100,"{'C': 1.0, 'class_weight': 'balanced'}",0.5157990918039917,0.021752080617366703
10,SVD-300,"{'C': 1.0, 'class_weight': 'balanced'}",0.6233287029745452,0.026463508412162738
10,chi2-2000,"{'C': 1.0, 'class_weight': 'balanced'}",0.6527650775680189,0.032867013541985374
10,chi2-5000,"{'C': 1.0, 'class_weight': 'balanced'}",0.6966403762681102,0.03166274410813837
10,L1,C=0.3,0.5624808480581751,0.021537573548340665
10,L1,C=1.0,0.6625433722255927,0.029748959915287424
10,L1,C=3.0,0.7073032097029521,0.03414064632879823
