정규화,analyzer,ngram,min_df,sublinear,max_features,C,class_weight,피처수,Val_MacroF1
True,char,"(2, 4)",1,False,0,3.0,none,52901,0.6709332884833508
True,char,"(2, 4)",1,True,100000,3.0,none,52901,0.6709332884833508
True,char,"(2, 4)",1,False,100000,3.0,none,52901,0.6709332884833508
True,char_wb,"(2, 3)",1,True,0,0.3,balanced,23232,0.6707456553399093
True,char_wb,"(2, 3)",1,True,100000,0.3,balanced,23232,0.6707456553399093
True,char_wb,"(2, 5)",1,False,0,10.0,balanced,49285,0.6706426346589935
True,char_wb,"(2, 5)",1,False,100000,10.0,balanced,49285,0.6706426346589935
False,char_wb,"(2, 4)",1,True,0,3.0,balanced,47115,0.6705872601159382
False,char_wb,"(2, 4)",1,True,100000,3.0,balanced,47115,0.6705872601159382
True,char_wb,"(2, 4)",1,False,100000,10.0,balanced,37967,0.6704997678319831
True,char_wb,"(2, 4)",1,False,0,10.0,balanced,37967,0.6704997678319831
True,char_wb,"(2, 5)",1,True,0,10.0,balanced,49285,0.6702556676477476
True,char_wb,"(2, 5)",1,True,100000,10.0,balanced,49285,0.6702556676477476
True,char_wb,"(2, 3)",1,True,100000,3.0,balanced,23232,0.6697400103589592
True,char_wb,"(2, 3)",1,True,0,3.0,balanced,23232,0.6697400103589592
False,char_wb,"(2, 3)",1,False,0,3.0,none,27740,0.6695121532110246
False,char_wb,"(2, 3)",1,False,100000,3.0,none,27740,0.6695121532110246
False,char,"(2, 4)",1,True,100000,3.0,balanced,59904,0.6693680805893634
False,char,"(2, 4)",1,True,0,3.0,balanced,59904,0.6693680805893634
False,char_wb,"(2, 4)",1,False,100000,3.0,none,47115,0.6691677996954647
False,char_wb,"(2, 4)",1,False,0,3.0,none,47115,0.6691677996954647
False,char_wb,"(2, 5)",1,False,0,3.0,balanced,64263,0.6691396742778378
False,char_wb,"(2, 5)",1,False,100000,3.0,balanced,64263,0.6691396742778378
False,char_wb,"(2, 3)",1,True,100000,3.0,none,27740,0.668936966706063
False,char_wb,"(2, 3)",1,True,0,3.0,none,27740,0.668936966706063
False,char,"(2, 4)",1,False,0,3.0,balanced,59904,0.6688634933026847
False,char,"(2, 4)",1,False,100000,3.0,balanced,59904,0.6688634933026847
True,char,"(2, 5)",1,False,100000,10.0,balanced,81633,0.668760176841314
True,char,"(2, 5)",1,False,0,10.0,balanced,81633,0.668760176841314
True,char_wb,"(2, 4)",1,False,100000,10.0,none,37967,0.6685160526843311
True,char_wb,"(2, 4)",1,False,0,10.0,none,37967,0.6685160526843311
True,char,"(2, 5)",1,True,100000,10.0,balanced,81633,0.6684797850310636
True,char,"(2, 5)",1,True,0,10.0,balanced,81633,0.6684797850310636
True,char_wb,"(2, 4)",1,False,0,1.0,none,37967,0.6681403371041232
True,char_wb,"(2, 4)",1,False,100000,1.0,none,37967,0.6681403371041232
False,char_wb,"(2, 4)",1,True,0,10.0,balanced,47115,0.6680010803712013
False,char_wb,"(2, 4)",1,True,100000,10.0,balanced,47115,0.6680010803712013
True,char,"(2, 5)",1,False,100000,3.0,balanced,81633,0.6679873553696877
True,char,"(2, 5)",1,False,0,3.0,balanced,81633,0.6679873553696877
False,char_wb,"(2, 4)",1,False,0,3.0,balanced,47115,0.6679147227998744
False,char_wb,"(2, 4)",1,False,100000,3.0,balanced,47115,0.6679147227998744
False,char_wb,"(2, 4)",1,False,100000,10.0,none,47115,0.6677209326795424
False,char_wb,"(2, 4)",1,False,0,10.0,none,47115,0.6677209326795424
False,char,"(2, 5)",1,False,0,3.0,balanced,92607,0.6675158465628674
False,char,"(2, 5)",1,False,100000,3.0,balanced,92607,0.6675158465628674
True,char_wb,"(2, 3)",1,False,100000,3.0,balanced,23232,0.6672678851301472
True,char_wb,"(2, 3)",1,False,0,3.0,balanced,23232,0.6672678851301472
True,char_wb,"(2, 3)",1,False,100000,0.3,balanced,23232,0.6672442915651432
True,char_wb,"(2, 3)",1,False,0,0.3,balanced,23232,0.6672442915651432
True,char_wb,"(2, 3)",1,False,0,1.0,none,23232,0.6672025847897395
True,char_wb,"(2, 3)",1,False,100000,1.0,none,23232,0.6672025847897395
False,char_wb,"(2, 4)",1,False,100000,10.0,balanced,47115,0.667177009340619
False,char_wb,"(2, 4)",1,False,0,10.0,balanced,47115,0.667177009340619
True,char_wb,"(2, 3)",2,False,0,1.0,balanced,9500,0.6665129865483543
True,char_wb,"(2, 3)",2,False,100000,1.0,balanced,9500,0.6665129865483543
True,char_wb,"(2, 3)",1,True,0,1.0,none,23232,0.6665031434030921
True,char_wb,"(2, 3)",1,True,100000,1.0,none,23232,0.6665031434030921
False,char,"(2, 3)",1,False,0,1.0,balanced,31346,0.6664642848778896
False,char,"(2, 3)",1,False,100000,1.0,balanced,31346,0.6664642848778896
False,char_wb,"(2, 5)",1,False,100000,10.0,none,64263,0.6663907936058363
False,char_wb,"(2, 5)",1,False,0,10.0,none,64263,0.6663907936058363
True,char_wb,"(2, 4)",1,True,100000,3.0,balanced,37967,0.6663715959093935
True,char_wb,"(2, 4)",1,True,0,3.0,balanced,37967,0.6663715959093935
True,char_wb,"(2, 5)",1,True,0,0.3,balanced,49285,0.6663082178411569
True,char_wb,"(2, 5)",1,True,100000,0.3,balanced,49285,0.6663082178411569
False,char_wb,"(2, 3)",1,False,100000,1.0,none,27740,0.6663002853641586
False,char_wb,"(2, 3)",1,True,100000,1.0,none,27740,0.6663002853641586
