입력,analyzer,ngram,min_df,max_df,sublinear,use_idf,CV_MacroF1,CV_std
instt_title,char,"(2, 3)",1,1.0,True,True,0.8071007768436529,0.013684814498226915
instt_title,char,"(2, 3)",1,0.9,True,True,0.8071007768436529,0.013684814498226915
title,char_wb,"(2, 4)",1,0.9,True,True,0.80649105449081,0.020457533048854528
title,char_wb,"(2, 4)",1,1.0,True,True,0.80649105449081,0.020457533048854528
title,char,"(2, 5)",2,0.9,False,False,0.8064574011547554,0.01993978538291399
title,char,"(2, 5)",2,1.0,False,False,0.8064574011547554,0.01993978538291399
title,char_wb,"(2, 4)",1,0.9,False,True,0.8061523702796336,0.018947996952608626
title,char_wb,"(2, 4)",1,1.0,False,True,0.8061523702796336,0.018947996952608626
title,char_wb,"(2, 5)",1,0.9,False,False,0.8059938230193543,0.016460695314830607
title,char_wb,"(2, 5)",1,1.0,False,False,0.8059938230193543,0.016460695314830607
title,char_wb,"(2, 5)",1,0.9,True,False,0.8059667267383306,0.016404518220376536
title,char_wb,"(2, 5)",1,1.0,True,False,0.8059667267383306,0.016404518220376536
title,char_wb,"(2, 5)",3,0.9,True,False,0.8058554799472031,0.01948222979835534
title,char_wb,"(2, 5)",3,1.0,True,False,0.8058554799472031,0.01948222979835534
title,char,"(2, 5)",1,0.9,False,True,0.8057632883291571,0.020482669432743707
title,char,"(2, 5)",1,1.0,False,True,0.8057632883291571,0.020482669432743707
title,char,"(2, 5)",1,0.9,True,True,0.8054607743023825,0.022217266875369315
title,char,"(2, 5)",1,1.0,True,True,0.8054607743023825,0.022217266875369315
title,char_wb,"(2, 5)",3,1.0,False,False,0.8054281474686962,0.01851314613553439
title,char_wb,"(2, 5)",3,0.9,False,False,0.8054281474686962,0.01851314613553439
title,char,"(2, 3)",2,1.0,True,True,0.8051131204947399,0.018009861046794237
title,char,"(2, 3)",2,0.9,True,True,0.8051131204947399,0.018009861046794237
title,char,"(2, 5)",3,1.0,True,True,0.8046035700818542,0.01698987226285856
title,char,"(2, 5)",3,0.9,True,True,0.8046035700818542,0.01698987226285856
title,char,"(2, 5)",3,1.0,False,True,0.8043697242356238,0.01799888589357478
title,char,"(2, 5)",3,0.9,False,True,0.8043697242356238,0.01799888589357478
instt_title,char_wb,"(2, 3)",3,0.9,True,True,0.8041614332704343,0.014367173212772878
instt_title,char_wb,"(2, 3)",3,1.0,True,True,0.8041614332704343,0.014367173212772878
title,char_wb,"(2, 5)",1,1.0,True,True,0.8040331265377025,0.016552941602067342
title,char_wb,"(2, 5)",1,0.9,True,True,0.8040331265377025,0.016552941602067342
title,char,"(2, 3)",2,1.0,False,True,0.803879093344672,0.019909285807571644
title,char,"(2, 3)",2,0.9,False,True,0.803879093344672,0.019909285807571644
title,char_wb,"(2, 5)",1,1.0,False,True,0.803736903254129,0.01680496079101047
title,char_wb,"(2, 5)",1,0.9,False,True,0.803736903254129,0.01680496079101047
title,char_wb,"(2, 4)",2,0.9,True,False,0.8036108158698017,0.01954199679398918
title,char_wb,"(2, 4)",2,1.0,True,False,0.8036108158698017,0.01954199679398918
instt_title,char,"(2, 3)",2,1.0,True,True,0.8035728335407104,0.01704295333799184
instt_title,char,"(2, 3)",2,0.9,True,True,0.8035728335407104,0.01704295333799184
title,char_wb,"(2, 4)",2,1.0,False,False,0.80348639560367,0.0211242028253672
title,char_wb,"(2, 4)",2,0.9,False,False,0.80348639560367,0.0211242028253672
instt_title,char,"(2, 3)",1,0.9,True,False,0.8032884773964122,0.015966217036190992
