분류기,표현순위,입력,analyzer,ngram,min_df,max_df,sublinear,use_idf,설정,CV_MacroF1,CV_std
LinearSVC,8,title,char,"(2, 3)",1,1.0,True,False,"{'C': 0.3, 'class_weight': 'balanced'}",0.81608892427953,0.02874738279780335
LogReg(다항),6,title,char_wb,"(2, 3)",1,1.0,False,False,"{'C': 300.0, 'class_weight': 'balanced'}",0.8160650607774951,0.02425709570515267
LogReg(OvR),10,title,char,"(2, 3)",3,0.9,True,True,"{'C': 30.0, 'class_weight': 'balanced'}",0.8155415689735473,0.0318923866352929
LogReg(OvR),9,title,char,"(2, 3)",3,1.0,True,True,"{'C': 30.0, 'class_weight': 'balanced'}",0.8155415689735473,0.0318923866352929
LogReg(다항),9,title,char,"(2, 3)",3,1.0,True,True,"{'C': 30.0, 'class_weight': 'balanced'}",0.8148901242745522,0.03090307463805372
LogReg(다항),10,title,char,"(2, 3)",3,0.9,True,True,"{'C': 30.0, 'class_weight': 'balanced'}",0.8148901242745522,0.03090307463805372
LogReg(OvR),5,title,char_wb,"(2, 3)",1,0.9,False,False,"{'C': 300.0, 'class_weight': 'balanced'}",0.8147747580222079,0.028870043783651964
LogReg(OvR),2,title,char_wb,"(2, 3)",3,0.9,True,True,"{'C': 3.0, 'class_weight': 'balanced'}",0.814569176876712,0.027089485351190844
LogReg(OvR),1,title,char_wb,"(2, 3)",3,1.0,True,True,"{'C': 3.0, 'class_weight': 'balanced'}",0.814569176876712,0.027089485351190844
LinearSVC,7,title,char,"(2, 3)",1,0.9,True,False,"{'C': 10.0, 'class_weight': None}",0.8140397313760029,0.016954046726739044
LinearSVC,8,title,char,"(2, 3)",1,1.0,True,False,"{'C': 10.0, 'class_weight': None}",0.8140397313760029,0.016954046726739044
LogReg(OvR),2,title,char_wb,"(2, 3)",3,0.9,True,True,"{'C': 30.0, 'class_weight': 'balanced'}",0.8138035807886712,0.02629323999338962
LogReg(OvR),1,title,char_wb,"(2, 3)",3,1.0,True,True,"{'C': 30.0, 'class_weight': 'balanced'}",0.8138035807886712,0.02629323999338962
LogReg(OvR),3,title,char_wb,"(2, 3)",3,0.9,False,True,"{'C': 30.0, 'class_weight': 'balanced'}",0.8136702386838088,0.025474886792249008
LogReg(OvR),4,title,char_wb,"(2, 3)",3,1.0,False,True,"{'C': 30.0, 'class_weight': 'balanced'}",0.8136702386838088,0.025474886792249008
LogReg(OvR),10,title,char,"(2, 3)",3,0.9,True,True,"{'C': 3.0, 'class_weight': 'balanced'}",0.8136527251054175,0.03076799290969295
LogReg(OvR),9,title,char,"(2, 3)",3,1.0,True,True,"{'C': 3.0, 'class_weight': 'balanced'}",0.8136527251054175,0.03076799290969295
LogReg(OvR),4,title,char_wb,"(2, 3)",3,1.0,False,True,"{'C': 3.0, 'class_weight': 'balanced'}",0.8136245976959431,0.026833674468026845
