입력,analyzer,ngram,min_df,max_df,sublinear,use_idf,CV_MacroF1,CV_std
title,char_wb,"(2, 5)",3,1.0,True,False,0.6874658844203054,0.02708623527119151
instt_title,char_wb,"(2, 3)",2,1.0,False,False,0.6871820357139927,0.027436467770818557
instt_title,char_wb,"(2, 3)",2,0.9,False,False,0.6871820357139927,0.027436467770818557
title,char,"(3, 5)",1,1.0,False,False,0.6854592261468027,0.021965220534950886
title,char,"(3, 5)",1,0.9,False,False,0.6854592261468027,0.021965220534950886
title,char,"(2, 5)",3,0.9,True,False,0.6842865109654777,0.024500844624687566
title,char,"(2, 5)",3,1.0,True,False,0.6842865109654777,0.024500844624687566
instt_title,char,"(2, 3)",3,1.0,True,False,0.6841700170255836,0.024191678369129048
instt_title,char,"(2, 3)",3,0.9,True,False,0.6841700170255836,0.024191678369129048
instt_title,char_wb,"(2, 3)",3,0.9,True,False,0.6840766560575364,0.02958859408398522
instt_title,char_wb,"(2, 3)",3,1.0,True,False,0.6840766560575364,0.02958859408398522
title,char,"(2, 5)",3,0.9,False,False,0.6840589908677637,0.024780982006555454
title,char,"(2, 5)",3,1.0,False,False,0.6840589908677637,0.024780982006555454
instt_title,char_wb,"(2, 4)",1,1.0,True,False,0.6838607646509067,0.01696843609539648
instt_title,char_wb,"(2, 4)",1,0.9,True,False,0.6838607646509067,0.01696843609539648
title,char,"(3, 5)",1,1.0,True,False,0.6836844993253776,0.02423284202386253
title,char,"(3, 5)",1,0.9,True,False,0.6836844993253776,0.02423284202386253
instt_title,char_wb,"(2, 4)",3,1.0,True,True,0.6833520301029299,0.028644966956482464
instt_title,char_wb,"(2, 4)",3,0.9,True,True,0.6833520301029299,0.028644966956482464
instt_title,char,"(2, 4)",1,1.0,True,False,0.6833469206506851,0.021116784372113777
instt_title,char,"(2, 4)",1,0.9,True,False,0.6833469206506851,0.021116784372113777
instt_title,char,"(2, 4)",2,1.0,False,True,0.6828256168529948,0.018085245053867736
instt_title,char,"(2, 4)",2,0.9,False,True,0.6828256168529948,0.018085245053867736
title,char_wb,"(3, 5)",1,1.0,False,False,0.6821643659065126,0.0304251900614069
title,char_wb,"(3, 5)",1,0.9,False,False,0.6821643659065126,0.0304251900614069
instt_title,char_wb,"(2, 4)",2,1.0,False,True,0.6818068231467689,0.01920281328585277
instt_title,char_wb,"(2, 4)",2,0.9,False,True,0.6818068231467689,0.01920281328585277
title,char_wb,"(3, 5)",1,0.9,True,False,0.6812934459136081,0.030131156387989723
title,char_wb,"(3, 5)",1,1.0,True,False,0.6812934459136081,0.030131156387989723
instt_title,char_wb,"(2, 5)",1,0.9,False,True,0.6811814120839284,0.01655812936872471
instt_title,char_wb,"(2, 5)",1,1.0,False,True,0.6811814120839284,0.01655812936872471
instt_title,char_wb,"(2, 5)",2,0.9,True,True,0.6807138077063885,0.020214118494175263
instt_title,char_wb,"(2, 5)",2,1.0,True,True,0.6807138077063885,0.020214118494175263
instt_title,char_wb,"(2, 4)",2,1.0,True,False,0.680681458107822,0.025361680130985283
instt_title,char_wb,"(2, 4)",2,0.9,True,False,0.680681458107822,0.025361680130985283
instt_title,char,"(2, 3)",3,0.9,False,False,0.679587770754783,0.024154253716416156
instt_title,char,"(2, 3)",3,1.0,False,False,0.679587770754783,0.024154253716416156
instt_title,char_wb,"(2, 3)",3,1.0,False,False,0.6795383533514546,0.025519085478258416
instt_title,char_wb,"(2, 3)",3,0.9,False,False,0.6795383533514546,0.025519085478258416
instt_title,char_wb,"(2, 4)",1,0.9,False,False,0.679306046337486,0.01756836982820425
instt_title,char_wb,"(2, 4)",1,1.0,False,False,0.679306046337486,0.01756836982820425
instt_title,char,"(2, 4)",2,1.0,True,False,0.6791544452563839,0.023622920513828225
instt_title,char,"(2, 4)",2,0.9,True,False,0.6791544452563839,0.023622920513828225
instt_title,char,"(2, 4)",1,1.0,False,False,0.678882188812031,0.01829018376080712
instt_title,char,"(2, 4)",1,0.9,False,False,0.678882188812031,0.01829018376080712
instt_title,char,"(2, 4)",3,0.9,True,True,0.6788543244782067,0.022632375016103753
instt_title,char,"(2, 4)",3,1.0,True,True,0.6788543244782067,0.022632375016103753
instt_title,char_wb,"(2, 5)",1,0.9,True,False,0.6779694038721388,0.017313449655316598
